outcome,match,(Intercept),MR,mental_age,MR:mental_age
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,DO,7.69 (1.78),5.12 (2.41),0.55 (0.21),-0.66 (0.29)
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,VE,10.04 (2.41),-2.59 (3.42),0.35 (0.28),0.18 (0.40)
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,KOD,9.47 (1.43),1.05 (1.88),0.33 (0.17),-0.15 (0.23)
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,PO,10.29 (1.59),-1.58 (2.20),0.33 (0.18),0.06 (0.26)
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,ŘO,10.19 (1.32),0.23 (1.75),0.24 (0.14),-0.06 (0.19)
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,POČ,8.36 (2.43),-0.69 (3.26),0.52 (0.31),0.04 (0.42)
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,KOS,7.53 (2.30),4.25 (2.77),0.59 (0.30),-0.57 (0.36)
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,SLO,7.98 (1.94),4.39 (2.74),0.58 (0.24),-0.63 (0.34)
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,POR,9.14 (1.76),3.62 (2.34),0.42 (0.21),-0.52 (0.29)
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,DO,12.86 (1.15),1.44 (1.56),0.10 (0.14),-0.23 (0.19)
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,VE,13.34 (1.76),-3.72 (2.49),0.06 (0.20),0.37 (0.29)
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,KOD,13.09 (0.91),-0.80 (1.19),0.08 (0.11),0.05 (0.14)
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,PO,12.73 (1.28),-2.99 (1.78),0.11 (0.15),0.31 (0.21)
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,ŘO,13.25 (0.84),0.32 (1.11),0.05 (0.09),-0.08 (0.12)
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,POČ,12.16 (1.72),-4.01 (2.31),0.18 (0.22),0.49 (0.30)
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,KOS,12.88 (1.43),1.67 (1.72),0.11 (0.18),-0.28 (0.23)
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,SLO,12.72 (1.46),2.42 (2.05),0.13 (0.18),-0.36 (0.25)
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,POR,13.19 (1.07),0.72 (1.42),0.07 (0.13),-0.14 (0.17)
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,DO,-4.22 (8.10),15.66 (10.95),3.59 (0.97),-3.53 (1.32)
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,VE,-33.77 (16.83),29.39 (23.88),7.15 (1.94),-5.24 (2.76)
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,KOD,-21.68 (6.05),33.54 (7.91),5.32 (0.72),-5.31 (0.95)
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,PO,-34.24 (10.54),33.05 (14.60),7.11 (1.23),-5.55 (1.70)
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,ŘO,-13.23 (6.62),25.85 (8.78),4.36 (0.70),-4.43 (0.94)
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,POČ,-32.32 (14.30),42.56 (19.19),7.04 (1.83),-6.81 (2.46)
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,KOS,-44.77 (10.94),54.03 (13.19),8.73 (1.42),-8.35 (1.73)
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,SLO,-10.40 (13.51),24.99 (19.04),4.06 (1.68),-4.40 (2.36)
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,POR,-12.53 (9.60),26.50 (12.79),4.56 (1.16),-4.82 (1.56)
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,DO,5.81 (5.08),1.91 (6.86),1.07 (0.61),-1.02 (0.83)
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,VE,-21.25 (10.60),19.08 (15.04),4.56 (1.22),-3.36 (1.74)
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,KOD,-5.60 (3.75),13.62 (4.90),2.35 (0.44),-2.33 (0.59)
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,PO,-15.27 (6.73),14.04 (9.32),3.70 (0.78),-2.59 (1.09)
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,ŘO,-4.32 (4.08),12.34 (5.40),2.26 (0.43),-2.25 (0.58)
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,POČ,-15.14 (9.17),23.70 (12.31),3.83 (1.17),-3.89 (1.58)
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,KOS,-20.94 (6.96),27.61 (8.38),4.63 (0.90),-4.43 (1.10)
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,SLO,0.62 (8.00),9.15 (11.28),1.66 (0.99),-1.86 (1.40)
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,POR,-2.89 (5.65),12.30 (7.54),2.25 (0.69),-2.41 (0.92)
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,DO,-10.03 (3.97),13.75 (5.36),2.52 (0.48),-2.51 (0.65)
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,VE,-12.52 (7.88),10.31 (11.18),2.58 (0.91),-1.88 (1.29)
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,KOD,-16.08 (3.15),19.93 (4.12),2.97 (0.37),-2.98 (0.49)
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,PO,-18.96 (4.89),19.01 (6.78),3.41 (0.57),-2.96 (0.79)
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,ŘO,-8.91 (3.59),13.51 (4.76),2.09 (0.38),-2.18 (0.51)
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,POČ,-17.18 (6.41),18.86 (8.60),3.21 (0.82),-2.93 (1.10)
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,KOS,-23.83 (5.08),26.43 (6.12),4.10 (0.66),-3.93 (0.80)
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,SLO,-11.02 (6.47),15.84 (9.12),2.41 (0.80),-2.53 (1.13)
X2_pamet_na_pribehy_OKAMZITE_pribeh2_ok_sum,POR,-9.64 (4.56),14.20 (6.08),2.31 (0.55),-2.41 (0.74)
X2_pamet_na_pribehy_ODDALENE_sum_1_2,DO,-9.77 (6.54),16.59 (8.84),3.53 (0.78),-3.44 (1.06)
X2_pamet_na_pribehy_ODDALENE_sum_1_2,VE,-23.67 (13.80),16.77 (19.58),4.96 (1.59),-3.27 (2.26)
X2_pamet_na_pribehy_ODDALENE_sum_1_2,KOD,-18.29 (4.35),24.04 (5.64),4.40 (0.51),-4.16 (0.68)
X2_pamet_na_pribehy_ODDALENE_sum_1_2,PO,-29.43 (8.21),28.65 (11.37),5.54 (0.96),-4.54 (1.32)
X2_pamet_na_pribehy_ODDALENE_sum_1_2,ŘO,-12.37 (4.46),21.40 (5.86),3.53 (0.47),-3.70 (0.62)
X2_pamet_na_pribehy_ODDALENE_sum_1_2,POČ,-21.17 (12.43),23.19 (16.68),4.71 (1.59),-3.98 (2.14)
X2_pamet_na_pribehy_ODDALENE_sum_1_2,KOS,-15.70 (7.97),19.50 (9.56),3.90 (1.03),-3.37 (1.25)
