outcome,match,(Intercept),MR,mental_age,MR:mental_age
X10_konfrontacni_pojmenovani_celkem_spont,POR,8.84 (2.42),12.30 (3.23),1.90 (0.29),-1.78 (0.39)
X10_konfrontacni_pojmenovani_celkem_kat,DO,1.13 (0.79),1.65 (1.06),-0.07 (0.09),-0.14 (0.13)
X10_konfrontacni_pojmenovani_celkem_kat,VE,1.35 (1.53),-0.83 (2.17),-0.04 (0.18),0.10 (0.25)
X10_konfrontacni_pojmenovani_celkem_kat,KOD,0.18 (0.73),0.20 (0.96),0.09 (0.09),0.01 (0.12)
X10_konfrontacni_pojmenovani_celkem_kat,PO,-0.45 (1.15),1.44 (1.59),0.15 (0.13),-0.14 (0.19)
X10_konfrontacni_pojmenovani_celkem_kat,ŘO,0.44 (0.71),1.38 (0.94),0.09 (0.07),-0.17 (0.10)
X10_konfrontacni_pojmenovani_celkem_kat,POČ,1.19 (1.38),-0.27 (1.85),-0.07 (0.18),0.09 (0.24)
X10_konfrontacni_pojmenovani_celkem_kat,KOS,0.67 (1.10),2.09 (1.33),0.02 (0.14),-0.25 (0.17)
X10_konfrontacni_pojmenovani_celkem_kat,SLO,1.47 (1.16),1.46 (1.64),-0.07 (0.14),-0.16 (0.20)
X10_konfrontacni_pojmenovani_celkem_kat,POR,1.42 (0.87),0.18 (1.16),-0.07 (0.11),0.01 (0.14)
X10_konfrontacni_pojmenovani_celkem_fon,DO,3.99 (1.81),2.08 (2.44),-0.03 (0.22),-0.12 (0.29)
X10_konfrontacni_pojmenovani_celkem_fon,VE,-1.74 (3.00),7.81 (4.26),0.56 (0.35),-0.70 (0.49)
X10_konfrontacni_pojmenovani_celkem_fon,KOD,4.37 (1.52),-0.12 (1.98),-0.18 (0.18),0.26 (0.24)
X10_konfrontacni_pojmenovani_celkem_fon,PO,4.24 (2.18),1.33 (3.03),-0.15 (0.25),0.07 (0.35)
X10_konfrontacni_pojmenovani_celkem_fon,ŘO,2.98 (1.37),0.91 (1.82),0.02 (0.15),0.09 (0.19)
X10_konfrontacni_pojmenovani_celkem_fon,POČ,2.86 (2.89),-2.91 (3.88),0.06 (0.37),0.58 (0.50)
X10_konfrontacni_pojmenovani_celkem_fon,KOS,2.83 (2.38),3.22 (2.87),0.03 (0.31),-0.20 (0.38)
X10_konfrontacni_pojmenovani_celkem_fon,SLO,2.81 (2.28),-2.90 (3.21),0.07 (0.28),0.55 (0.40)
X10_konfrontacni_pojmenovani_celkem_fon,POR,3.45 (1.65),-2.22 (2.20),-0.06 (0.20),0.53 (0.27)
X10_konfrontacni_pojmenovani_celkem_spont.kat,DO,12.73 (2.52),6.66 (3.40),1.40 (0.30),-0.92 (0.41)
X10_konfrontacni_pojmenovani_celkem_spont.kat,VE,18.05 (3.58),-5.91 (5.08),0.88 (0.41),0.41 (0.59)
X10_konfrontacni_pojmenovani_celkem_spont.kat,KOD,10.52 (2.16),11.77 (2.82),1.71 (0.26),-1.59 (0.34)
X10_konfrontacni_pojmenovani_celkem_spont.kat,PO,10.06 (2.98),6.73 (4.13),1.76 (0.35),-1.00 (0.48)
X10_konfrontacni_pojmenovani_celkem_spont.kat,ŘO,13.98 (2.11),9.70 (2.79),1.26 (0.22),-1.32 (0.30)
X10_konfrontacni_pojmenovani_celkem_spont.kat,POČ,9.51 (3.80),8.62 (5.10),1.82 (0.49),-1.16 (0.65)
X10_konfrontacni_pojmenovani_celkem_spont.kat,KOS,6.28 (3.09),14.48 (3.73),2.36 (0.40),-2.02 (0.49)
X10_konfrontacni_pojmenovani_celkem_spont.kat,SLO,11.33 (3.36),8.85 (4.73),1.62 (0.42),-1.24 (0.59)
X10_konfrontacni_pojmenovani_celkem_spont.kat,POR,10.26 (2.42),12.48 (3.22),1.83 (0.29),-1.77 (0.39)
X11_vybaveni_s_napovedou_sum_pojm,DO,18.70 (0.69),-0.13 (0.93),0.12 (0.08),-0.04 (0.11)
X11_vybaveni_s_napovedou_sum_pojm,VE,19.37 (0.99),1.32 (1.40),0.07 (0.11),-0.24 (0.16)
X11_vybaveni_s_napovedou_sum_pojm,KOD,18.63 (0.57),0.75 (0.75),0.13 (0.07),-0.15 (0.09)
X11_vybaveni_s_napovedou_sum_pojm,PO,18.07 (0.79),0.17 (1.10),0.19 (0.09),-0.08 (0.13)
X11_vybaveni_s_napovedou_sum_pojm,ŘO,18.68 (0.50),-0.12 (0.66),0.11 (0.05),-0.04 (0.07)
X11_vybaveni_s_napovedou_sum_pojm,POČ,17.08 (1.06),1.11 (1.43),0.34 (0.14),-0.21 (0.18)
X11_vybaveni_s_napovedou_sum_pojm,KOS,17.70 (0.81),-0.13 (0.97),0.26 (0.10),-0.03 (0.13)
X11_vybaveni_s_napovedou_sum_pojm,SLO,17.77 (0.85),0.15 (1.20),0.24 (0.11),-0.08 (0.15)
X11_vybaveni_s_napovedou_sum_pojm,POR,18.42 (0.65),-0.08 (0.87),0.15 (0.08),-0.04 (0.11)
X11_vybaveni_s_napovedou_sum_vybav,DO,18.87 (0.82),1.33 (1.11),0.07 (0.10),-0.14 (0.13)
X11_vybaveni_s_napovedou_sum_vybav,VE,19.29 (1.23),0.50 (1.75),0.05 (0.14),-0.06 (0.20)
X11_vybaveni_s_napovedou_sum_vybav,KOD,19.92 (0.61),-0.92 (0.80),-0.03 (0.07),0.12 (0.10)
X11_vybaveni_s_napovedou_sum_vybav,PO,18.77 (0.61),0.12 (0.85),0.12 (0.07),-0.03 (0.10)
X11_vybaveni_s_napovedou_sum_vybav,ŘO,19.95 (0.34),-0.41 (0.45),-0.01 (0.04),0.02 (0.05)
X11_vybaveni_s_napovedou_sum_vybav,POČ,19.12 (1.35),-0.27 (1.82),0.04 (0.17),0.07 (0.23)
X11_vybaveni_s_napovedou_sum_vybav,KOS,20.24 (0.93),-0.47 (1.12),-0.06 (0.12),0.05 (0.15)
X11_vybaveni_s_napovedou_sum_vybav,SLO,20.59 (0.99),-1.35 (1.39),-0.13 (0.12),0.18 (0.17)
X11_vybaveni_s_napovedou_sum_vybav,POR,20.11 (0.72),-1.05 (0.95),-0.06 (0.09),0.13 (0.12)
X11_vybaveni_s_napovedou_sum_spont_vybav,DO,3.12 (2.16),7.35 (2.92),0.57 (0.26),-0.76 (0.35)
X11_vybaveni_s_napovedou_sum_spont_vybav,VE,7.27 (4.89),-2.02 (6.93),0.34 (0.56),0.09 (0.80)
X11_vybaveni_s_napovedou_sum_spont_vybav,KOD,3.68 (2.18),3.45 (2.85),0.60 (0.26),-0.37 (0.34)
X11_vybaveni_s_napovedou_sum_spont_vybav,PO,0.28 (3.07),6.07 (4.25),0.95 (0.36),-0.64 (0.49)
X11_vybaveni_s_napovedou_sum_spont_vybav,ŘO,3.25 (1.88),2.87 (2.49),0.63 (0.20),-0.30 (0.27)
X11_vybaveni_s_napovedou_sum_spont_vybav,POČ,-4.79 (3.14),5.20 (4.21),1.61 (0.40),-0.50 (0.54)
X11_vybaveni_s_napovedou_sum_spont_vybav,KOS,2.16 (3.56),4.93 (4.29),0.79 (0.46),-0.53 (0.56)
X11_vybaveni_s_napovedou_sum_spont_vybav,SLO,0.80 (3.82),5.84 (5.39),1.03 (0.47),-0.74 (0.67)
X11_vybaveni_s_napovedou_sum_spont_vybav,POR,2.63 (2.52),3.05 (3.36),0.73 (0.31),-0.32 (0.41)
X11_vybaveni_s_napovedou_sum_napoveda,DO,10.36 (2.44),-1.62 (3.29),-0.14 (0.29),0.23 (0.40)
X11_vybaveni_s_napovedou_sum_napoveda,VE,4.79 (4.53),6.05 (6.42),0.34 (0.52),-0.50 (0.74)
X11_vybaveni_s_napovedou_sum_napoveda,KOD,10.50 (2.26),0.62 (2.95),-0.16 (0.27),-0.05 (0.35)
X11_vybaveni_s_napovedou_sum_napoveda,PO,13.17 (2.82),-2.97 (3.91),-0.43 (0.33),0.35 (0.46)
X11_vybaveni_s_napovedou_sum_napoveda,ŘO,11.74 (1.82),0.66 (2.42),-0.30 (0.19),-0.04 (0.26)
X11_vybaveni_s_napovedou_sum_napoveda,POČ,11.84 (3.56),4.38 (4.77),-0.31 (0.45),-0.56 (0.61)
X11_vybaveni_s_napovedou_sum_napoveda,KOS,13.62 (3.65),-2.54 (4.40),-0.57 (0.47),0.36 (0.58)
X11_vybaveni_s_napovedou_sum_napoveda,SLO,10.75 (3.74),1.52 (5.27),-0.23 (0.46),-0.12 (0.65)
X11_vybaveni_s_napovedou_sum_napoveda,POR,10.88 (2.62),1.44 (3.49),-0.20 (0.32),-0.16 (0.43)
X11_vybaveni_s_napovedou_sum_konfab,DO,1.74 (0.84),-0.39 (1.13),-0.14 (0.10),0.06 (0.14)
X11_vybaveni_s_napovedou_sum_konfab,VE,0.54 (1.12),-0.01 (1.59),-0.03 (0.13),0.05 (0.18)
X11_vybaveni_s_napovedou_sum_konfab,KOD,0.81 (0.57),-1.09 (0.74),-0.05 (0.07),0.17 (0.09)
X11_vybaveni_s_napovedou_sum_konfab,PO,1.54 (0.79),0.15 (1.09),-0.14 (0.09),0.02 (0.13)
X11_vybaveni_s_napovedou_sum_konfab,ŘO,0.76 (0.53),-0.15 (0.70),-0.04 (0.06),0.05 (0.08)
X11_vybaveni_s_napovedou_sum_konfab,POČ,1.41 (1.30),-0.85 (1.74),-0.11 (0.17),0.13 (0.22)
X11_vybaveni_s_napovedou_sum_konfab,KOS,1.00 (0.91),0.04 (1.10),-0.08 (0.12),0.03 (0.14)
X11_vybaveni_s_napovedou_sum_konfab,SLO,-0.04 (0.89),1.17 (1.25),0.05 (0.11),-0.11 (0.16)
X11_vybaveni_s_napovedou_sum_konfab,POR,0.78 (0.71),0.10 (0.94),-0.04 (0.09),0.02 (0.11)
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,DO,13.49 (2.38),5.73 (3.22),0.44 (0.29),-0.53 (0.39)
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,VE,12.07 (3.44),4.03 (4.88),0.68 (0.40),-0.41 (0.56)
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,KOD,14.18 (1.78),4.07 (2.33),0.44 (0.21),-0.42 (0.28)
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,PO,13.45 (2.16),3.10 (2.99),0.52 (0.25),-0.29 (0.35)
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,ŘO,14.99 (1.49),3.53 (1.98),0.33 (0.16),-0.34 (0.21)
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,POČ,7.05 (3.45),9.57 (4.62),1.30 (0.44),-1.06 (0.59)
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,KOS,15.78 (3.01),2.39 (3.63),0.21 (0.39),-0.18 (0.48)
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,SLO,11.55 (2.80),7.36 (3.95),0.80 (0.35),-0.86 (0.49)
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,POR,13.50 (2.06),4.48 (2.74),0.53 (0.25),-0.48 (0.33)
X12_prospektivni_pamet_pro_pa_1.8_sum,DO,1.38 (2.72),9.86 (3.67),1.06 (0.33),-1.25 (0.44)
X12_prospektivni_pamet_pro_pa_1.8_sum,VE,2.58 (4.09),9.52 (5.80),0.91 (0.47),-1.18 (0.67)
X12_prospektivni_pamet_pro_pa_1.8_sum,KOD,2.47 (2.10),7.76 (2.75),0.91 (0.25),-0.98 (0.33)
X12_prospektivni_pamet_pro_pa_1.8_sum,PO,-2.38 (3.14),10.72 (4.34),1.49 (0.36),-1.33 (0.51)
X12_prospektivni_pamet_pro_pa_1.8_sum,ŘO,3.72 (1.82),3.08 (2.41),0.78 (0.19),-0.44 (0.26)
X12_prospektivni_pamet_pro_pa_1.8_sum,POČ,0.31 (4.35),6.66 (5.83),1.16 (0.56),-0.81 (0.75)
X12_prospektivni_pamet_pro_pa_1.8_sum,KOS,-0.21 (3.20),7.25 (3.86),1.27 (0.41),-0.90 (0.51)
X12_prospektivni_pamet_pro_pa_1.8_sum,SLO,2.99 (3.30),7.46 (4.65),0.83 (0.41),-0.92 (0.58)
X12_prospektivni_pamet_pro_pa_1.8_sum,POR,1.66 (2.59),6.77 (3.45),0.99 (0.31),-0.83 (0.42)
X12_prospektivni_pamet_rekogn_sum,DO,6.97 (0.79),1.06 (1.07),0.08 (0.09),-0.13 (0.13)
X12_prospektivni_pamet_rekogn_sum,VE,6.01 (1.15),0.17 (1.63),0.20 (0.13),-0.04 (0.19)
X12_prospektivni_pamet_rekogn_sum,KOD,6.62 (0.71),0.34 (0.93),0.10 (0.08),-0.02 (0.11)
X12_prospektivni_pamet_rekogn_sum,PO,5.95 (0.89),0.32 (1.23),0.20 (0.10),-0.05 (0.14)
X12_prospektivni_pamet_rekogn_sum,ŘO,6.17 (0.63),1.40 (0.83),0.15 (0.07),-0.15 (0.09)
X12_prospektivni_pamet_rekogn_sum,POČ,4.94 (1.46),0.94 (1.96),0.31 (0.19),-0.09 (0.25)
X12_prospektivni_pamet_rekogn_sum,KOS,5.48 (1.10),2.35 (1.32),0.26 (0.14),-0.29 (0.17)
X12_prospektivni_pamet_rekogn_sum,SLO,5.83 (1.07),1.70 (1.51),0.22 (0.13),-0.21 (0.19)
X12_prospektivni_pamet_rekogn_sum,POR,5.70 (0.84),0.91 (1.12),0.21 (0.10),-0.08 (0.14)
X13_porozumeni_pokynum_sumaHS,DO,41.87 (3.64),5.08 (4.89),1.55 (0.43),-1.10 (0.59)
X13_porozumeni_pokynum_sumaHS,VE,37.03 (5.12),19.21 (7.27),2.10 (0.59),-2.76 (0.84)
X13_porozumeni_pokynum_sumaHS,KOD,39.00 (3.04),10.96 (3.97),1.67 (0.36),-1.60 (0.48)
X13_porozumeni_pokynum_sumaHS,PO,31.35 (4.50),18.39 (6.23),2.60 (0.52),-2.50 (0.73)
X13_porozumeni_pokynum_sumaHS,ŘO,39.14 (2.71),8.63 (3.54),1.59 (0.29),-1.27 (0.38)
X13_porozumeni_pokynum_sumaHS,POČ,24.26 (6.42),16.73 (8.57),3.70 (0.82),-2.45 (1.10)
X13_porozumeni_pokynum_sumaHS,KOS,31.21 (4.62),16.45 (5.57),2.78 (0.60),-2.37 (0.73)
X13_porozumeni_pokynum_sumaHS,SLO,31.15 (5.07),14.32 (7.14),2.72 (0.63),-2.08 (0.89)
X13_porozumeni_pokynum_sumaHS,POR,37.86 (3.65),7.17 (4.87),1.87 (0.44),-1.17 (0.59)
X15_motoricka_koordinace_prava_r1_celk_cas,DO,18.02 (6.89),4.97 (9.31),-0.48 (0.83),-0.41 (1.12)
X15_motoricka_koordinace_prava_r1_celk_cas,VE,12.73 (10.81),-8.60 (15.34),0.14 (1.25),1.22 (1.77)
X15_motoricka_koordinace_prava_r1_celk_cas,KOD,19.13 (5.94),0.75 (7.31),-0.76 (0.73),0.23 (0.90)
X15_motoricka_koordinace_prava_r1_celk_cas,PO,21.17 (7.32),-7.30 (10.13),-1.02 (0.85),1.25 (1.18)
X15_motoricka_koordinace_prava_r1_celk_cas,ŘO,18.10 (4.32),6.93 (5.73),-0.62 (0.46),-0.44 (0.61)
X15_motoricka_koordinace_prava_r1_celk_cas,POČ,14.37 (10.27),5.54 (13.78),-0.14 (1.31),-0.39 (1.77)
X15_motoricka_koordinace_prava_r1_celk_cas,KOS,19.53 (7.57),9.06 (9.13),-0.77 (0.98),-1.00 (1.20)
X15_motoricka_koordinace_prava_r1_celk_cas,SLO,18.72 (8.66),3.88 (12.21),-0.60 (1.07),-0.25 (1.52)
X15_motoricka_koordinace_prava_r1_celk_cas,POR,20.28 (6.43),-9.89 (8.58),-0.83 (0.78),1.52 (1.05)
X15_motoricka_koordinace_prava_r2_celk_cas,DO,38.65 (10.35),13.42 (13.98),-1.38 (1.24),-1.02 (1.68)
X15_motoricka_koordinace_prava_r2_celk_cas,VE,27.87 (16.09),-4.82 (22.77),-0.25 (1.86),1.38 (2.63)
X15_motoricka_koordinace_prava_r2_celk_cas,KOD,48.60 (10.20),-16.78 (12.56),-2.66 (1.26),2.78 (1.55)
X15_motoricka_koordinace_prava_r2_celk_cas,PO,39.47 (12.06),-10.93 (16.70),-1.39 (1.40),1.90 (1.94)
X15_motoricka_koordinace_prava_r2_celk_cas,ŘO,41.38 (7.37),4.46 (9.77),-1.54 (0.78),0.03 (1.05)
X15_motoricka_koordinace_prava_r2_celk_cas,POČ,43.79 (16.79),-17.52 (22.53),-2.11 (2.15),2.96 (2.89)
X15_motoricka_koordinace_prava_r2_celk_cas,KOS,51.34 (12.60),6.55 (15.18),-3.03 (1.63),-0.46 (1.99)
X15_motoricka_koordinace_prava_r2_celk_cas,SLO,44.04 (13.33),-0.87 (18.78),-2.18 (1.65),0.87 (2.33)
X15_motoricka_koordinace_prava_r2_celk_cas,POR,47.28 (9.92),-25.22 (13.23),-2.53 (1.20),3.90 (1.61)
X15_motoricka_koordinace_prava_r3_celk_cas,DO,63.95 (13.98),13.44 (18.88),-2.53 (1.67),-0.99 (2.27)
X15_motoricka_koordinace_prava_r3_celk_cas,VE,41.99 (23.67),1.04 (33.50),-0.12 (2.73),0.83 (3.87)
X15_motoricka_koordinace_prava_r3_celk_cas,KOD,73.23 (14.13),-25.44 (17.42),-3.82 (1.74),4.00 (2.14)
X15_motoricka_koordinace_prava_r3_celk_cas,PO,62.93 (15.68),-16.77 (21.72),-2.40 (1.82),2.75 (2.53)
X15_motoricka_koordinace_prava_r3_celk_cas,ŘO,63.22 (9.80),5.27 (12.99),-2.36 (1.04),0.12 (1.39)
X15_motoricka_koordinace_prava_r3_celk_cas,POČ,67.06 (21.96),-20.53 (29.46),-3.23 (2.81),3.57 (3.78)
X15_motoricka_koordinace_prava_r3_celk_cas,KOS,75.98 (17.06),4.31 (20.56),-4.32 (2.21),-0.02 (2.70)
X15_motoricka_koordinace_prava_r3_celk_cas,SLO,69.77 (17.84),1.62 (25.14),-3.51 (2.21),0.70 (3.12)
X15_motoricka_koordinace_prava_r3_celk_cas,POR,70.85 (13.88),-29.49 (18.50),-3.60 (1.68),4.60 (2.26)
X15_motoricka_koordinace_prava_r4_celk_cas,DO,86.68 (17.82),13.95 (24.07),-3.64 (2.13),-0.52 (2.89)
X15_motoricka_koordinace_prava_r4_celk_cas,VE,59.17 (29.90),8.53 (42.32),-0.42 (3.45),0.37 (4.89)
X15_motoricka_koordinace_prava_r4_celk_cas,KOD,98.47 (16.81),-36.23 (21.97),-4.80 (1.99),5.44 (2.64)
X15_motoricka_koordinace_prava_r4_celk_cas,PO,98.07 (20.93),-34.94 (28.99),-4.69 (2.43),5.18 (3.38)
X15_motoricka_koordinace_prava_r4_celk_cas,ŘO,90.55 (14.06),-4.43 (18.64),-3.53 (1.49),1.35 (2.00)
X15_motoricka_koordinace_prava_r4_celk_cas,POČ,105.94 (29.35),-38.36 (39.37),-6.19 (3.75),6.15 (5.05)
X15_motoricka_koordinace_prava_r4_celk_cas,KOS,116.90 (23.64),-10.35 (28.49),-7.63 (3.06),2.16 (3.74)
X15_motoricka_koordinace_prava_r4_celk_cas,SLO,105.53 (23.98),-7.01 (33.80),-6.16 (2.97),2.21 (4.20)
X15_motoricka_koordinace_prava_r4_celk_cas,POR,102.87 (19.62),-41.35 (26.15),-5.46 (2.38),6.18 (3.19)
X15_motoricka_koordinace_leva_r1_celk_cas,DO,19.54 (7.21),15.30 (9.74),-0.54 (0.86),-1.47 (1.17)
X15_motoricka_koordinace_leva_r1_celk_cas,VE,12.09 (11.47),25.52 (16.28),0.31 (1.33),-2.52 (1.88)
X15_motoricka_koordinace_leva_r1_celk_cas,KOD,31.08 (7.03),-12.68 (8.66),-1.96 (0.87),2.00 (1.07)
X15_motoricka_koordinace_leva_r1_celk_cas,PO,29.04 (8.53),-5.13 (11.82),-1.68 (0.99),1.06 (1.38)
X15_motoricka_koordinace_leva_r1_celk_cas,ŘO,24.12 (5.35),0.88 (7.09),-0.92 (0.57),0.19 (0.76)
X15_motoricka_koordinace_leva_r1_celk_cas,POČ,30.76 (11.32),-12.95 (15.18),-2.08 (1.45),2.20 (1.95)
X15_motoricka_koordinace_leva_r1_celk_cas,KOS,33.72 (8.58),1.43 (10.34),-2.35 (1.11),0.05 (1.36)
X15_motoricka_koordinace_leva_r1_celk_cas,SLO,36.37 (9.87),-0.73 (13.92),-2.53 (1.22),0.39 (1.73)
X15_motoricka_koordinace_leva_r1_celk_cas,POR,24.75 (7.58),-8.29 (10.10),-1.14 (0.92),1.42 (1.23)
X15_motoricka_koordinace_leva_r2_celk_cas,DO,43.40 (11.31),21.10 (15.29),-1.65 (1.36),-1.72 (1.84)
X15_motoricka_koordinace_leva_r2_celk_cas,VE,23.35 (19.83),55.12 (28.14),0.84 (2.29),-5.62 (3.25)
X15_motoricka_koordinace_leva_r2_celk_cas,KOD,64.95 (13.01),-26.72 (16.04),-4.09 (1.61),3.99 (1.97)
X15_motoricka_koordinace_leva_r2_celk_cas,PO,56.38 (14.39),-12.03 (19.93),-2.97 (1.67),2.15 (2.32)
X15_motoricka_koordinace_leva_r2_celk_cas,ŘO,54.39 (9.67),-4.22 (12.82),-2.39 (1.03),0.93 (1.37)
X15_motoricka_koordinace_leva_r2_celk_cas,POČ,50.02 (20.19),-13.22 (27.08),-2.34 (2.58),2.43 (3.47)
X15_motoricka_koordinace_leva_r2_celk_cas,KOS,68.35 (15.77),1.66 (19.01),-4.52 (2.04),-0.01 (2.49)
X15_motoricka_koordinace_leva_r2_celk_cas,SLO,59.43 (15.51),-7.80 (21.87),-3.62 (1.92),1.83 (2.72)
X15_motoricka_koordinace_leva_r2_celk_cas,POR,48.66 (11.45),-31.36 (15.26),-2.23 (1.39),4.80 (1.86)
X15_motoricka_koordinace_leva_r3_celk_cas,DO,69.05 (19.64),28.98 (26.54),-2.80 (2.35),-1.86 (3.19)
X15_motoricka_koordinace_leva_r3_celk_cas,VE,31.63 (32.48),65.78 (46.09),1.55 (3.75),-5.85 (5.33)
X15_motoricka_koordinace_leva_r3_celk_cas,KOD,101.39 (20.78),-34.19 (25.60),-6.46 (2.56),5.61 (3.15)
X15_motoricka_koordinace_leva_r3_celk_cas,PO,79.89 (23.31),-6.14 (32.28),-3.79 (2.71),2.23 (3.76)
X15_motoricka_koordinace_leva_r3_celk_cas,ŘO,84.18 (14.93),7.58 (19.80),-3.63 (1.58),0.04 (2.12)
X15_motoricka_koordinace_leva_r3_celk_cas,POČ,74.53 (32.58),9.60 (43.70),-3.37 (4.16),0.30 (5.61)
X15_motoricka_koordinace_leva_r3_celk_cas,KOS,114.43 (24.10),7.96 (29.05),-8.26 (3.12),-0.34 (3.81)
X15_motoricka_koordinace_leva_r3_celk_cas,SLO,88.63 (24.91),5.53 (35.11),-5.43 (3.09),1.19 (4.36)
X15_motoricka_koordinace_leva_r3_celk_cas,POR,80.78 (19.61),-42.84 (26.14),-4.06 (2.38),6.95 (3.19)
X15_motoricka_koordinace_leva_r4_celk_cas,DO,102.14 (27.46),29.14 (37.10),-4.67 (3.29),-1.43 (4.46)
X15_motoricka_koordinace_leva_r4_celk_cas,VE,60.07 (45.53),93.36 (64.61),0.29 (5.26),-8.60 (7.47)
X15_motoricka_koordinace_leva_r4_celk_cas,KOD,122.49 (23.99),-27.42 (31.36),-6.66 (2.85),5.01 (3.77)
X15_motoricka_koordinace_leva_r4_celk_cas,PO,117.47 (32.46),-5.43 (44.95),-6.15 (3.78),2.61 (5.23)
X15_motoricka_koordinace_leva_r4_celk_cas,ŘO,112.49 (20.09),14.07 (26.63),-4.87 (2.13),-0.24 (2.85)
X15_motoricka_koordinace_leva_r4_celk_cas,POČ,107.86 (45.89),4.76 (61.57),-5.26 (5.87),1.31 (7.90)
X15_motoricka_koordinace_leva_r4_celk_cas,KOS,148.04 (32.30),21.46 (38.93),-10.40 (4.19),-1.74 (5.10)
X15_motoricka_koordinace_leva_r4_celk_cas,SLO,125.68 (34.98),2.66 (49.31),-7.84 (4.34),2.02 (6.12)
X15_motoricka_koordinace_leva_r4_celk_cas,POR,113.21 (26.68),-70.12 (35.58),-5.74 (3.23),10.73 (4.34)
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,DO,122.29 (25.99),-81.27 (35.12),-10.56 (3.11),8.28 (4.22)
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,VE,101.49 (33.58),-34.52 (47.66),-9.20 (3.88),4.03 (5.51)
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,KOD,92.03 (20.86),-54.86 (27.27),-7.30 (2.47),5.43 (3.28)
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,PO,135.82 (32.29),-94.86 (44.72),-11.94 (3.76),9.77 (5.21)
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,ŘO,94.01 (18.02),-51.26 (23.88),-6.80 (1.91),4.49 (2.56)
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,POČ,136.91 (45.14),-82.54 (60.56),-12.50 (5.77),8.37 (7.77)
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,KOS,117.81 (32.77),-63.10 (39.50),-10.67 (4.25),6.21 (5.18)
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,SLO,152.01 (35.28),-116.23 (49.74),-14.59 (4.38),12.94 (6.18)
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,POR,102.54 (24.31),-83.96 (32.41),-8.78 (2.95),9.31 (3.95)
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,DO,11.33 (6.05),-4.27 (8.17),-0.69 (0.72),0.52 (0.98)
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,VE,12.98 (8.12),-21.32 (11.52),-0.97 (0.94),2.61 (1.33)
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,KOD,9.62 (4.96),-8.04 (6.48),-0.29 (0.59),0.82 (0.78)
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,PO,16.95 (6.97),-16.53 (9.65),-1.31 (0.81),1.94 (1.12)
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,ŘO,14.30 (4.58),-6.69 (6.07),-0.80 (0.49),0.58 (0.65)
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,POČ,19.99 (10.26),-17.47 (13.76),-1.69 (1.31),2.11 (1.77)
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,KOS,18.36 (7.42),-12.42 (8.95),-1.56 (0.96),1.53 (1.17)
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,SLO,12.42 (7.68),-8.94 (10.83),-0.74 (0.95),1.02 (1.34)
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,POR,16.10 (5.64),-5.00 (7.53),-1.11 (0.68),0.42 (0.92)
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,DO,0.67 (0.74),-1.80 (1.00),-0.05 (0.09),0.23 (0.12)
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,VE,1.69 (1.22),-2.99 (1.73),-0.17 (0.14),0.36 (0.20)
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,KOD,0.37 (0.64),-0.10 (0.83),-0.01 (0.08),0.02 (0.10)
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,PO,0.55 (0.72),0.04 (1.00),-0.05 (0.08),0.02 (0.12)
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,ŘO,0.66 (0.53),-0.70 (0.70),-0.05 (0.06),0.10 (0.08)
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,POČ,0.73 (1.29),-0.39 (1.73),-0.05 (0.16),0.05 (0.22)
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,KOS,-0.26 (0.97),-0.24 (1.17),0.08 (0.13),0.04 (0.15)
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,SLO,0.70 (1.00),-0.30 (1.40),-0.05 (0.12),0.05 (0.17)
