outcome,match,parameter,b (SE),t,p,sig,sig_fwer
X1_verbalni_pamet_a_uceni_opak_1.4,POR,MR:mental_age,-0.12 (0.32),-0.381,.705,,
X1_verbalni_pamet_a_uceni_konfab_1.4,DO,(Intercept),1.99 (1.14),,,,
X1_verbalni_pamet_a_uceni_konfab_1.4,DO,MR,-1.56 (1.53),-1.014,.315,,
X1_verbalni_pamet_a_uceni_konfab_1.4,DO,mental_age,-0.14 (0.14),-1.052,.298,,
X1_verbalni_pamet_a_uceni_konfab_1.4,DO,MR:mental_age,0.20 (0.18),1.086,.282,,
X1_verbalni_pamet_a_uceni_konfab_1.4,VE,(Intercept),1.92 (1.90),,,,
X1_verbalni_pamet_a_uceni_konfab_1.4,VE,MR,-2.11 (2.70),-0.779,.440,,
X1_verbalni_pamet_a_uceni_konfab_1.4,VE,mental_age,-0.12 (0.22),-0.544,.589,,
X1_verbalni_pamet_a_uceni_konfab_1.4,VE,MR:mental_age,0.25 (0.31),0.786,.436,,
X1_verbalni_pamet_a_uceni_konfab_1.4,KOD,(Intercept),1.58 (0.86),,,,
X1_verbalni_pamet_a_uceni_konfab_1.4,KOD,MR,-1.23 (1.12),-1.104,.275,,
X1_verbalni_pamet_a_uceni_konfab_1.4,KOD,mental_age,-0.08 (0.10),-0.786,.435,,
X1_verbalni_pamet_a_uceni_konfab_1.4,KOD,MR:mental_age,0.15 (0.13),1.123,.267,,
X1_verbalni_pamet_a_uceni_konfab_1.4,PO,(Intercept),0.83 (1.73),,,,
X1_verbalni_pamet_a_uceni_konfab_1.4,PO,MR,-1.50 (2.40),-0.624,.535,,
X1_verbalni_pamet_a_uceni_konfab_1.4,PO,mental_age,0.06 (0.20),0.310,.758,,
X1_verbalni_pamet_a_uceni_konfab_1.4,PO,MR:mental_age,0.12 (0.28),0.440,.662,,
X1_verbalni_pamet_a_uceni_konfab_1.4,ŘO,(Intercept),0.68 (1.00),,,,
X1_verbalni_pamet_a_uceni_konfab_1.4,ŘO,MR,0.36 (1.32),0.271,.787,,
X1_verbalni_pamet_a_uceni_konfab_1.4,ŘO,mental_age,0.06 (0.11),0.526,.601,,
X1_verbalni_pamet_a_uceni_konfab_1.4,ŘO,MR:mental_age,-0.07 (0.14),-0.510,.612,,
X1_verbalni_pamet_a_uceni_konfab_1.4,POČ,(Intercept),3.36 (2.06),,,,
X1_verbalni_pamet_a_uceni_konfab_1.4,POČ,MR,-3.87 (2.76),-1.404,.166,,
X1_verbalni_pamet_a_uceni_konfab_1.4,POČ,mental_age,-0.25 (0.26),-0.966,.338,,
X1_verbalni_pamet_a_uceni_konfab_1.4,POČ,MR:mental_age,0.44 (0.35),1.235,.223,,
X1_verbalni_pamet_a_uceni_konfab_1.4,KOS,(Intercept),1.01 (1.48),,,,
X1_verbalni_pamet_a_uceni_konfab_1.4,KOS,MR,-0.48 (1.79),-0.269,.789,,
X1_verbalni_pamet_a_uceni_konfab_1.4,KOS,mental_age,0.00 (0.19),0.016,.987,,
X1_verbalni_pamet_a_uceni_konfab_1.4,KOS,MR:mental_age,0.05 (0.23),0.201,.841,,
X1_verbalni_pamet_a_uceni_konfab_1.4,SLO,(Intercept),1.20 (1.50),,,,
X1_verbalni_pamet_a_uceni_konfab_1.4,SLO,MR,-1.81 (2.11),-0.854,.397,,
X1_verbalni_pamet_a_uceni_konfab_1.4,SLO,mental_age,-0.02 (0.19),-0.089,.929,,
X1_verbalni_pamet_a_uceni_konfab_1.4,SLO,MR:mental_age,0.21 (0.26),0.782,.438,,
X1_verbalni_pamet_a_uceni_konfab_1.4,POR,(Intercept),1.14 (1.12),,,,
X1_verbalni_pamet_a_uceni_konfab_1.4,POR,MR,-0.46 (1.49),-0.309,.758,,
X1_verbalni_pamet_a_uceni_konfab_1.4,POR,mental_age,0.00 (0.14),0.032,.975,,
X1_verbalni_pamet_a_uceni_konfab_1.4,POR,MR:mental_age,0.02 (0.18),0.123,.902,,
X1_verbalni_pamet_a_uceni_pok5,DO,(Intercept),1.40 (1.15),,,,
X1_verbalni_pamet_a_uceni_pok5,DO,MR,3.62 (1.56),2.320,.024,*,
X1_verbalni_pamet_a_uceni_pok5,DO,mental_age,0.38 (0.14),2.782,.008,*,
X1_verbalni_pamet_a_uceni_pok5,DO,MR:mental_age,-0.54 (0.19),-2.869,.006,*,
X1_verbalni_pamet_a_uceni_pok5,VE,(Intercept),4.68 (1.86),,,,
X1_verbalni_pamet_a_uceni_pok5,VE,MR,-0.21 (2.64),-0.079,.937,,
X1_verbalni_pamet_a_uceni_pok5,VE,mental_age,-0.06 (0.21),-0.292,.772,,
X1_verbalni_pamet_a_uceni_pok5,VE,MR:mental_age,-0.02 (0.30),-0.057,.955,,
X1_verbalni_pamet_a_uceni_pok5,KOD,(Intercept),3.41 (0.97),,,,
X1_verbalni_pamet_a_uceni_pok5,KOD,MR,0.49 (1.27),0.385,.702,,
X1_verbalni_pamet_a_uceni_pok5,KOD,mental_age,0.11 (0.12),0.935,.354,,
X1_verbalni_pamet_a_uceni_pok5,KOD,MR:mental_age,-0.12 (0.15),-0.803,.426,,
X1_verbalni_pamet_a_uceni_pok5,PO,(Intercept),3.53 (1.39),,,,
X1_verbalni_pamet_a_uceni_pok5,PO,MR,0.78 (1.93),0.405,.687,,
X1_verbalni_pamet_a_uceni_pok5,PO,mental_age,0.12 (0.16),0.764,.448,,
X1_verbalni_pamet_a_uceni_pok5,PO,MR:mental_age,-0.19 (0.22),-0.827,.412,,
X1_verbalni_pamet_a_uceni_pok5,ŘO,(Intercept),2.36 (0.90),,,,
X1_verbalni_pamet_a_uceni_pok5,ŘO,MR,0.79 (1.19),0.658,.513,,
X1_verbalni_pamet_a_uceni_pok5,ŘO,mental_age,0.27 (0.10),2.866,.006,*,
X1_verbalni_pamet_a_uceni_pok5,ŘO,MR:mental_age,-0.20 (0.13),-1.563,.124,,
X1_verbalni_pamet_a_uceni_pok5,POČ,(Intercept),6.58 (1.92),,,,
X1_verbalni_pamet_a_uceni_pok5,POČ,MR,-3.48 (2.57),-1.351,.183,,
X1_verbalni_pamet_a_uceni_pok5,POČ,mental_age,-0.31 (0.25),-1.266,.211,,
X1_verbalni_pamet_a_uceni_pok5,POČ,MR:mental_age,0.40 (0.33),1.208,.233,,
X1_verbalni_pamet_a_uceni_pok5,KOS,(Intercept),4.65 (1.42),,,,
X1_verbalni_pamet_a_uceni_pok5,KOS,MR,-0.40 (1.72),-0.234,.816,,
