outcome,match,parameter,b (SE),t,p,sig,sig_fwer
X9_verbalni_fluence_V_sum,PO,(Intercept),0.25 (3.20),,,,
X9_verbalni_fluence_V_sum,PO,MR,3.61 (4.44),0.812,.420,,
X9_verbalni_fluence_V_sum,PO,mental_age,0.61 (0.37),1.632,.109,,
X9_verbalni_fluence_V_sum,PO,MR:mental_age,-0.45 (0.52),-0.865,.391,,
X9_verbalni_fluence_V_sum,ŘO,(Intercept),-3.05 (1.82),,,,
X9_verbalni_fluence_V_sum,ŘO,MR,6.64 (2.38),2.790,.007,*,
X9_verbalni_fluence_V_sum,ŘO,mental_age,0.85 (0.20),4.278,< .001,*,
X9_verbalni_fluence_V_sum,ŘO,MR:mental_age,-0.66 (0.26),-2.552,.014,*,
X9_verbalni_fluence_V_sum,POČ,(Intercept),-7.51 (3.52),,,,
X9_verbalni_fluence_V_sum,POČ,MR,-0.31 (4.72),-0.065,.948,,
X9_verbalni_fluence_V_sum,POČ,mental_age,1.68 (0.45),3.728,< .001,*,
X9_verbalni_fluence_V_sum,POČ,MR:mental_age,0.02 (0.61),0.033,.974,,
X9_verbalni_fluence_V_sum,KOS,(Intercept),-5.72 (3.48),,,,
X9_verbalni_fluence_V_sum,KOS,MR,12.31 (4.19),2.934,.005,*,
X9_verbalni_fluence_V_sum,KOS,mental_age,1.34 (0.45),2.970,.004,*,
X9_verbalni_fluence_V_sum,KOS,MR:mental_age,-1.53 (0.55),-2.783,.007,*,
X9_verbalni_fluence_V_sum,SLO,(Intercept),-3.13 (3.21),,,,
X9_verbalni_fluence_V_sum,SLO,MR,0.04 (4.52),0.008,.994,,
X9_verbalni_fluence_V_sum,SLO,mental_age,1.01 (0.40),2.529,.014,*,
X9_verbalni_fluence_V_sum,SLO,MR:mental_age,0.04 (0.56),0.077,.939,,
X9_verbalni_fluence_V_sum,POR,(Intercept),-5.96 (1.98),,,,
X9_verbalni_fluence_V_sum,POR,MR,4.58 (2.64),1.733,.089,,
X9_verbalni_fluence_V_sum,POR,mental_age,1.29 (0.24),5.347,< .001,*,*
X9_verbalni_fluence_V_sum,POR,MR:mental_age,-0.44 (0.32),-1.378,.174,,
X9_verbalni_fluence_KV_sum,DO,(Intercept),0.08 (6.14),,,,
X9_verbalni_fluence_KV_sum,DO,MR,18.27 (8.29),2.204,.032,*,
X9_verbalni_fluence_KV_sum,DO,mental_age,1.63 (0.74),2.223,.031,*,
X9_verbalni_fluence_KV_sum,DO,MR:mental_age,-2.36 (1.00),-2.365,.022,*,
X9_verbalni_fluence_KV_sum,VE,(Intercept),-5.91 (10.54),,,,
X9_verbalni_fluence_KV_sum,VE,MR,13.93 (14.95),0.931,.356,,
X9_verbalni_fluence_KV_sum,VE,mental_age,2.30 (1.22),1.892,.064,,
X9_verbalni_fluence_KV_sum,VE,MR:mental_age,-1.78 (1.73),-1.028,.309,,
X9_verbalni_fluence_KV_sum,KOD,(Intercept),-14.64 (4.07),,,,
X9_verbalni_fluence_KV_sum,KOD,MR,20.59 (5.31),3.875,< .001,*,
X9_verbalni_fluence_KV_sum,KOD,mental_age,3.19 (0.48),6.610,< .001,*,*
X9_verbalni_fluence_KV_sum,KOD,MR:mental_age,-2.34 (0.64),-3.662,< .001,*,
X9_verbalni_fluence_KV_sum,PO,(Intercept),7.54 (6.57),,,,
X9_verbalni_fluence_KV_sum,PO,MR,0.73 (9.10),0.080,.937,,
X9_verbalni_fluence_KV_sum,PO,mental_age,0.55 (0.76),0.724,.472,,
X9_verbalni_fluence_KV_sum,PO,MR:mental_age,-0.05 (1.06),-0.043,.966,,
X9_verbalni_fluence_KV_sum,ŘO,(Intercept),-7.10 (4.03),,,,
X9_verbalni_fluence_KV_sum,ŘO,MR,16.38 (5.26),3.112,.003,*,
X9_verbalni_fluence_KV_sum,ŘO,mental_age,2.07 (0.44),4.742,< .001,*,*
X9_verbalni_fluence_KV_sum,ŘO,MR:mental_age,-1.70 (0.57),-2.976,.004,*,
X9_verbalni_fluence_KV_sum,POČ,(Intercept),-9.69 (8.51),,,,
X9_verbalni_fluence_KV_sum,POČ,MR,-4.73 (11.41),-0.414,.681,,
X9_verbalni_fluence_KV_sum,POČ,mental_age,3.00 (1.09),2.755,.008,*,
X9_verbalni_fluence_KV_sum,POČ,MR:mental_age,0.52 (1.46),0.352,.726,,
X9_verbalni_fluence_KV_sum,KOS,(Intercept),-13.94 (7.05),,,,
X9_verbalni_fluence_KV_sum,KOS,MR,29.40 (8.50),3.459,.001,*,
X9_verbalni_fluence_KV_sum,KOS,mental_age,3.23 (0.91),3.539,< .001,*,
X9_verbalni_fluence_KV_sum,KOS,MR:mental_age,-3.64 (1.11),-3.267,.002,*,
X9_verbalni_fluence_KV_sum,SLO,(Intercept),-8.27 (6.60),,,,
X9_verbalni_fluence_KV_sum,SLO,MR,5.53 (9.30),0.595,.555,,
X9_verbalni_fluence_KV_sum,SLO,mental_age,2.56 (0.82),3.123,.003,*,
X9_verbalni_fluence_KV_sum,SLO,MR:mental_age,-0.63 (1.15),-0.544,.589,,
X9_verbalni_fluence_KV_sum,POR,(Intercept),-9.13 (4.26),,,,
X9_verbalni_fluence_KV_sum,POR,MR,6.63 (5.67),1.168,.248,,
X9_verbalni_fluence_KV_sum,POR,mental_age,2.53 (0.52),4.906,< .001,*,*
X9_verbalni_fluence_KV_sum,POR,MR:mental_age,-0.61 (0.69),-0.884,.381,,
X9_verbalni_fluence_zvire_sum,DO,(Intercept),8.26 (3.89),,,,
X9_verbalni_fluence_zvire_sum,DO,MR,11.33 (5.25),2.158,.036,*,
X9_verbalni_fluence_zvire_sum,DO,mental_age,0.80 (0.47),1.721,.091,,
X9_verbalni_fluence_zvire_sum,DO,MR:mental_age,-1.45 (0.63),-2.300,.026,*,
X9_verbalni_fluence_zvire_sum,VE,(Intercept),8.93 (6.60),,,,
X9_verbalni_fluence_zvire_sum,VE,MR,-5.70 (9.36),-0.609,.545,,
X9_verbalni_fluence_zvire_sum,VE,mental_age,0.82 (0.76),1.077,.287,,
X9_verbalni_fluence_zvire_sum,VE,MR:mental_age,0.48 (1.08),0.442,.660,,
X9_verbalni_fluence_zvire_sum,KOD,(Intercept),5.87 (3.27),,,,
X9_verbalni_fluence_zvire_sum,KOD,MR,3.54 (4.28),0.826,.412,,
X9_verbalni_fluence_zvire_sum,KOD,mental_age,1.09 (0.39),2.815,.007,*,
X9_verbalni_fluence_zvire_sum,KOD,MR:mental_age,-0.45 (0.51),-0.884,.381,,
X9_verbalni_fluence_zvire_sum,PO,(Intercept),7.09 (4.67),,,,
X9_verbalni_fluence_zvire_sum,PO,MR,3.18 (6.47),0.492,.625,,
X9_verbalni_fluence_zvire_sum,PO,mental_age,0.94 (0.54),1.737,.088,,
X9_verbalni_fluence_zvire_sum,PO,MR:mental_age,-0.46 (0.75),-0.610,.545,,
X9_verbalni_fluence_zvire_sum,ŘO,(Intercept),6.82 (3.05),,,,
X9_verbalni_fluence_zvire_sum,ŘO,MR,6.46 (3.99),1.620,.111,,
X9_verbalni_fluence_zvire_sum,ŘO,mental_age,1.01 (0.33),3.055,.004,*,
X9_verbalni_fluence_zvire_sum,ŘO,MR:mental_age,-0.89 (0.43),-2.054,.045,*,
X9_verbalni_fluence_zvire_sum,POČ,(Intercept),8.08 (6.12),,,,
X9_verbalni_fluence_zvire_sum,POČ,MR,-10.07 (8.20),-1.228,.225,,
X9_verbalni_fluence_zvire_sum,POČ,mental_age,0.82 (0.78),1.054,.297,,
X9_verbalni_fluence_zvire_sum,POČ,MR:mental_age,1.31 (1.05),1.242,.220,,
X9_verbalni_fluence_zvire_sum,KOS,(Intercept),7.72 (4.98),,,,
X9_verbalni_fluence_zvire_sum,KOS,MR,10.16 (6.00),1.693,.096,,
X9_verbalni_fluence_zvire_sum,KOS,mental_age,0.90 (0.65),1.390,.170,,
X9_verbalni_fluence_zvire_sum,KOS,MR:mental_age,-1.39 (0.79),-1.763,.084,,
X9_verbalni_fluence_zvire_sum,SLO,(Intercept),12.54 (5.44),,,,
X9_verbalni_fluence_zvire_sum,SLO,MR,-3.00 (7.67),-0.391,.697,,
X9_verbalni_fluence_zvire_sum,SLO,mental_age,0.25 (0.67),0.372,.711,,
X9_verbalni_fluence_zvire_sum,SLO,MR:mental_age,0.36 (0.95),0.374,.710,,
X9_verbalni_fluence_zvire_sum,POR,(Intercept),14.85 (3.74),,,,
X9_verbalni_fluence_zvire_sum,POR,MR,-4.66 (4.99),-0.934,.355,,
X9_verbalni_fluence_zvire_sum,POR,mental_age,-0.07 (0.45),-0.156,.876,,
X9_verbalni_fluence_zvire_sum,POR,MR:mental_age,0.60 (0.61),0.988,.328,,
X9_verbalni_fluence_switch_sum,DO,(Intercept),3.82 (2.24),,,,
X9_verbalni_fluence_switch_sum,DO,MR,10.11 (3.03),3.334,.002,*,
X9_verbalni_fluence_switch_sum,DO,mental_age,0.74 (0.27),2.741,.008,*,
X9_verbalni_fluence_switch_sum,DO,MR:mental_age,-1.26 (0.36),-3.458,.001,*,
X9_verbalni_fluence_switch_sum,VE,(Intercept),2.40 (3.59),,,,
X9_verbalni_fluence_switch_sum,VE,MR,3.71 (5.09),0.728,.470,,
X9_verbalni_fluence_switch_sum,VE,mental_age,0.95 (0.41),2.298,.026,*,
X9_verbalni_fluence_switch_sum,VE,MR:mental_age,-0.53 (0.59),-0.903,.370,,
X9_verbalni_fluence_switch_sum,KOD,(Intercept),-1.83 (1.83),,,,
X9_verbalni_fluence_switch_sum,KOD,MR,8.14 (2.39),3.408,.001,*,
X9_verbalni_fluence_switch_sum,KOD,mental_age,1.48 (0.22),6.819,< .001,*,*
X9_verbalni_fluence_switch_sum,KOD,MR:mental_age,-1.04 (0.29),-3.622,< .001,*,
X9_verbalni_fluence_switch_sum,PO,(Intercept),-0.34 (2.56),,,,
X9_verbalni_fluence_switch_sum,PO,MR,8.91 (3.55),2.509,.015,*,
X9_verbalni_fluence_switch_sum,PO,mental_age,1.16 (0.30),3.888,< .001,*,
X9_verbalni_fluence_switch_sum,PO,MR:mental_age,-1.02 (0.41),-2.477,.017,*,
X9_verbalni_fluence_switch_sum,ŘO,(Intercept),2.35 (1.72),,,,
X9_verbalni_fluence_switch_sum,ŘO,MR,6.11 (2.25),2.717,.009,*,
X9_verbalni_fluence_switch_sum,ŘO,mental_age,0.86 (0.19),4.624,< .001,*,
X9_verbalni_fluence_switch_sum,ŘO,MR:mental_age,-0.72 (0.24),-2.948,.005,*,
X9_verbalni_fluence_switch_sum,POČ,(Intercept),-3.94 (3.72),,,,
X9_verbalni_fluence_switch_sum,POČ,MR,5.38 (4.99),1.078,.286,,
X9_verbalni_fluence_switch_sum,POČ,mental_age,1.72 (0.48),3.616,< .001,*,
X9_verbalni_fluence_switch_sum,POČ,MR:mental_age,-0.64 (0.64),-1.003,.321,,
X9_verbalni_fluence_switch_sum,KOS,(Intercept),-1.49 (2.94),,,,
X9_verbalni_fluence_switch_sum,KOS,MR,12.87 (3.54),3.635,< .001,*,
X9_verbalni_fluence_switch_sum,KOS,mental_age,1.44 (0.38),3.787,< .001,*,
X9_verbalni_fluence_switch_sum,KOS,MR:mental_age,-1.67 (0.46),-3.602,< .001,*,
X9_verbalni_fluence_switch_sum,SLO,(Intercept),-1.95 (2.80),,,,
X9_verbalni_fluence_switch_sum,SLO,MR,7.33 (3.95),1.857,.069,,
X9_verbalni_fluence_switch_sum,SLO,mental_age,1.47 (0.35),4.222,< .001,*,
X9_verbalni_fluence_switch_sum,SLO,MR:mental_age,-0.92 (0.49),-1.879,.066,,
X9_verbalni_fluence_switch_sum,POR,(Intercept),2.10 (2.16),,,,
X9_verbalni_fluence_switch_sum,POR,MR,3.90 (2.88),1.354,.181,,
X9_verbalni_fluence_switch_sum,POR,mental_age,0.97 (0.26),3.694,< .001,*,
X9_verbalni_fluence_switch_sum,POR,MR:mental_age,-0.49 (0.35),-1.402,.167,,
X9_verbalni_fluence_switch_pocet_switch,DO,(Intercept),1.73 (2.25),,,,
X9_verbalni_fluence_switch_pocet_switch,DO,MR,10.41 (3.04),3.421,.001,*,
X9_verbalni_fluence_switch_pocet_switch,DO,mental_age,0.83 (0.27),3.062,.003,*,
X9_verbalni_fluence_switch_pocet_switch,DO,MR:mental_age,-1.27 (0.37),-3.459,.001,*,
X9_verbalni_fluence_switch_pocet_switch,VE,(Intercept),-0.99 (3.56),,,,
X9_verbalni_fluence_switch_pocet_switch,VE,MR,5.86 (5.06),1.159,.252,,
X9_verbalni_fluence_switch_pocet_switch,VE,mental_age,1.19 (0.41),2.898,.005,*,
X9_verbalni_fluence_switch_pocet_switch,VE,MR:mental_age,-0.76 (0.58),-1.296,.201,,
X9_verbalni_fluence_switch_pocet_switch,KOD,(Intercept),-4.46 (1.75),,,,
X9_verbalni_fluence_switch_pocet_switch,KOD,MR,9.71 (2.28),4.259,< .001,*,
X9_verbalni_fluence_switch_pocet_switch,KOD,mental_age,1.65 (0.21),7.984,< .001,*,*
X9_verbalni_fluence_switch_pocet_switch,KOD,MR:mental_age,-1.22 (0.27),-4.453,< .001,*,
X9_verbalni_fluence_switch_pocet_switch,PO,(Intercept),-0.86 (2.50),,,,
X9_verbalni_fluence_switch_pocet_switch,PO,MR,8.12 (3.46),2.349,.023,*,
X9_verbalni_fluence_switch_pocet_switch,PO,mental_age,1.10 (0.29),3.796,< .001,*,
X9_verbalni_fluence_switch_pocet_switch,PO,MR:mental_age,-0.94 (0.40),-2.343,.023,*,
X9_verbalni_fluence_switch_pocet_switch,ŘO,(Intercept),0.89 (1.60),,,,
X9_verbalni_fluence_switch_pocet_switch,ŘO,MR,6.36 (2.08),3.052,.004,*,
X9_verbalni_fluence_switch_pocet_switch,ŘO,mental_age,0.85 (0.17),4.926,< .001,*,*
X9_verbalni_fluence_switch_pocet_switch,ŘO,MR:mental_age,-0.70 (0.23),-3.082,.003,*,
X9_verbalni_fluence_switch_pocet_switch,POČ,(Intercept),-4.91 (3.40),,,,
X9_verbalni_fluence_switch_pocet_switch,POČ,MR,5.54 (4.56),1.214,.230,,
X9_verbalni_fluence_switch_pocet_switch,POČ,mental_age,1.65 (0.43),3.800,< .001,*,
X9_verbalni_fluence_switch_pocet_switch,POČ,MR:mental_age,-0.61 (0.59),-1.046,.300,,
X9_verbalni_fluence_switch_pocet_switch,KOS,(Intercept),-3.58 (2.77),,,,
X9_verbalni_fluence_switch_pocet_switch,KOS,MR,13.33 (3.33),3.999,< .001,*,
X9_verbalni_fluence_switch_pocet_switch,KOS,mental_age,1.54 (0.36),4.292,< .001,*,
X9_verbalni_fluence_switch_pocet_switch,KOS,MR:mental_age,-1.70 (0.44),-3.881,< .001,*,
X9_verbalni_fluence_switch_pocet_switch,SLO,(Intercept),-2.67 (2.71),,,,
X9_verbalni_fluence_switch_pocet_switch,SLO,MR,6.91 (3.82),1.808,.076,,
X9_verbalni_fluence_switch_pocet_switch,SLO,mental_age,1.39 (0.34),4.127,< .001,*,
X9_verbalni_fluence_switch_pocet_switch,SLO,MR:mental_age,-0.84 (0.47),-1.763,.084,,
X9_verbalni_fluence_switch_pocet_switch,POR,(Intercept),0.53 (2.11),,,,
X9_verbalni_fluence_switch_pocet_switch,POR,MR,4.28 (2.81),1.524,.134,,
X9_verbalni_fluence_switch_pocet_switch,POR,mental_age,1.01 (0.26),3.944,< .001,*,
X9_verbalni_fluence_switch_pocet_switch,POR,MR:mental_age,-0.52 (0.34),-1.523,.134,,
X10_konfrontacni_pojmenovani_celkem_spont,DO,(Intercept),11.60 (2.44),,,,
X10_konfrontacni_pojmenovani_celkem_spont,DO,MR,5.01 (3.29),1.523,.134,,
X10_konfrontacni_pojmenovani_celkem_spont,DO,mental_age,1.46 (0.29),5.017,< .001,*,*
X10_konfrontacni_pojmenovani_celkem_spont,DO,MR:mental_age,-0.78 (0.40),-1.973,.054,,
X10_konfrontacni_pojmenovani_celkem_spont,VE,(Intercept),16.70 (3.60),,,,
X10_konfrontacni_pojmenovani_celkem_spont,VE,MR,-5.08 (5.11),-0.994,.325,,
X10_konfrontacni_pojmenovani_celkem_spont,VE,mental_age,0.92 (0.42),2.212,.031,*,
X10_konfrontacni_pojmenovani_celkem_spont,VE,MR:mental_age,0.30 (0.59),0.512,.611,,
X10_konfrontacni_pojmenovani_celkem_spont,KOD,(Intercept),10.35 (2.29),,,,
X10_konfrontacni_pojmenovani_celkem_spont,KOD,MR,11.56 (2.99),3.861,< .001,*,
X10_konfrontacni_pojmenovani_celkem_spont,KOD,mental_age,1.62 (0.27),5.960,< .001,*,*
X10_konfrontacni_pojmenovani_celkem_spont,KOD,MR:mental_age,-1.59 (0.36),-4.431,< .001,*,
X10_konfrontacni_pojmenovani_celkem_spont,PO,(Intercept),10.51 (2.99),,,,
X10_konfrontacni_pojmenovani_celkem_spont,PO,MR,5.29 (4.15),1.276,.208,,
X10_konfrontacni_pojmenovani_celkem_spont,PO,mental_age,1.60 (0.35),4.609,< .001,*,
X10_konfrontacni_pojmenovani_celkem_spont,PO,MR:mental_age,-0.86 (0.48),-1.771,.082,,
X10_konfrontacni_pojmenovani_celkem_spont,ŘO,(Intercept),13.54 (1.96),,,,
X10_konfrontacni_pojmenovani_celkem_spont,ŘO,MR,8.32 (2.60),3.203,.002,*,
X10_konfrontacni_pojmenovani_celkem_spont,ŘO,mental_age,1.17 (0.21),5.648,< .001,*,*
X10_konfrontacni_pojmenovani_celkem_spont,ŘO,MR:mental_age,-1.15 (0.28),-4.121,< .001,*,
X10_konfrontacni_pojmenovani_celkem_spont,POČ,(Intercept),8.33 (3.86),,,,
X10_konfrontacni_pojmenovani_celkem_spont,POČ,MR,8.89 (5.17),1.720,.091,,
X10_konfrontacni_pojmenovani_celkem_spont,POČ,mental_age,1.88 (0.49),3.823,< .001,*,
X10_konfrontacni_pojmenovani_celkem_spont,POČ,MR:mental_age,-1.25 (0.66),-1.880,.066,,
X10_konfrontacni_pojmenovani_celkem_spont,KOS,(Intercept),5.61 (3.09),,,,
X10_konfrontacni_pojmenovani_celkem_spont,KOS,MR,12.39 (3.73),3.325,.002,*,
X10_konfrontacni_pojmenovani_celkem_spont,KOS,mental_age,2.34 (0.40),5.840,< .001,*,*
X10_konfrontacni_pojmenovani_celkem_spont,KOS,MR:mental_age,-1.77 (0.49),-3.618,< .001,*,
X10_konfrontacni_pojmenovani_celkem_spont,SLO,(Intercept),9.86 (3.24),,,,
X10_konfrontacni_pojmenovani_celkem_spont,SLO,MR,7.39 (4.57),1.618,.112,,
X10_konfrontacni_pojmenovani_celkem_spont,SLO,mental_age,1.69 (0.40),4.205,< .001,*,
X10_konfrontacni_pojmenovani_celkem_spont,SLO,MR:mental_age,-1.08 (0.57),-1.898,.063,,
X10_konfrontacni_pojmenovani_celkem_spont,POR,(Intercept),8.84 (2.42),,,,
X10_konfrontacni_pojmenovani_celkem_spont,POR,MR,12.30 (3.23),3.807,< .001,*,
X10_konfrontacni_pojmenovani_celkem_spont,POR,mental_age,1.90 (0.29),6.476,< .001,*,*
X10_konfrontacni_pojmenovani_celkem_spont,POR,MR:mental_age,-1.78 (0.39),-4.510,< .001,*,
X10_konfrontacni_pojmenovani_celkem_kat,DO,(Intercept),1.13 (0.79),,,,
X10_konfrontacni_pojmenovani_celkem_kat,DO,MR,1.65 (1.06),1.553,.127,,
X10_konfrontacni_pojmenovani_celkem_kat,DO,mental_age,-0.07 (0.09),-0.730,.469,,
X10_konfrontacni_pojmenovani_celkem_kat,DO,MR:mental_age,-0.14 (0.13),-1.092,.280,,
X10_konfrontacni_pojmenovani_celkem_kat,VE,(Intercept),1.35 (1.53),,,,
X10_konfrontacni_pojmenovani_celkem_kat,VE,MR,-0.83 (2.17),-0.381,.705,,
X10_konfrontacni_pojmenovani_celkem_kat,VE,mental_age,-0.04 (0.18),-0.208,.836,,
X10_konfrontacni_pojmenovani_celkem_kat,VE,MR:mental_age,0.10 (0.25),0.418,.678,,
X10_konfrontacni_pojmenovani_celkem_kat,KOD,(Intercept),0.18 (0.73),,,,
X10_konfrontacni_pojmenovani_celkem_kat,KOD,MR,0.20 (0.96),0.212,.833,,
X10_konfrontacni_pojmenovani_celkem_kat,KOD,mental_age,0.09 (0.09),1.010,.317,,
X10_konfrontacni_pojmenovani_celkem_kat,KOD,MR:mental_age,0.01 (0.12),0.048,.962,,
X10_konfrontacni_pojmenovani_celkem_kat,PO,(Intercept),-0.45 (1.15),,,,
X10_konfrontacni_pojmenovani_celkem_kat,PO,MR,1.44 (1.59),0.902,.371,,
X10_konfrontacni_pojmenovani_celkem_kat,PO,mental_age,0.15 (0.13),1.154,.254,,
X10_konfrontacni_pojmenovani_celkem_kat,PO,MR:mental_age,-0.14 (0.19),-0.757,.453,,
X10_konfrontacni_pojmenovani_celkem_kat,ŘO,(Intercept),0.44 (0.71),,,,
X10_konfrontacni_pojmenovani_celkem_kat,ŘO,MR,1.38 (0.94),1.475,.146,,
X10_konfrontacni_pojmenovani_celkem_kat,ŘO,mental_age,0.09 (0.07),1.197,.237,,
X10_konfrontacni_pojmenovani_celkem_kat,ŘO,MR:mental_age,-0.17 (0.10),-1.719,.092,,
X10_konfrontacni_pojmenovani_celkem_kat,POČ,(Intercept),1.19 (1.38),,,,
X10_konfrontacni_pojmenovani_celkem_kat,POČ,MR,-0.27 (1.85),-0.148,.883,,
X10_konfrontacni_pojmenovani_celkem_kat,POČ,mental_age,-0.07 (0.18),-0.372,.711,,
X10_konfrontacni_pojmenovani_celkem_kat,POČ,MR:mental_age,0.09 (0.24),0.382,.704,,
X10_konfrontacni_pojmenovani_celkem_kat,KOS,(Intercept),0.67 (1.10),,,,
X10_konfrontacni_pojmenovani_celkem_kat,KOS,MR,2.09 (1.33),1.573,.122,,
X10_konfrontacni_pojmenovani_celkem_kat,KOS,mental_age,0.02 (0.14),0.174,.862,,
X10_konfrontacni_pojmenovani_celkem_kat,KOS,MR:mental_age,-0.25 (0.17),-1.461,.150,,
X10_konfrontacni_pojmenovani_celkem_kat,SLO,(Intercept),1.47 (1.16),,,,
X10_konfrontacni_pojmenovani_celkem_kat,SLO,MR,1.46 (1.64),0.892,.377,,
X10_konfrontacni_pojmenovani_celkem_kat,SLO,mental_age,-0.07 (0.14),-0.472,.639,,
X10_konfrontacni_pojmenovani_celkem_kat,SLO,MR:mental_age,-0.16 (0.20),-0.796,.430,,
X10_konfrontacni_pojmenovani_celkem_kat,POR,(Intercept),1.42 (0.87),,,,
X10_konfrontacni_pojmenovani_celkem_kat,POR,MR,0.18 (1.16),0.157,.876,,
X10_konfrontacni_pojmenovani_celkem_kat,POR,mental_age,-0.07 (0.11),-0.665,.509,,
X10_konfrontacni_pojmenovani_celkem_kat,POR,MR:mental_age,0.01 (0.14),0.049,.961,,
X10_konfrontacni_pojmenovani_celkem_fon,DO,(Intercept),3.99 (1.81),,,,
X10_konfrontacni_pojmenovani_celkem_fon,DO,MR,2.08 (2.44),0.850,.399,,
X10_konfrontacni_pojmenovani_celkem_fon,DO,mental_age,-0.03 (0.22),-0.135,.893,,
X10_konfrontacni_pojmenovani_celkem_fon,DO,MR:mental_age,-0.12 (0.29),-0.412,.682,,
X10_konfrontacni_pojmenovani_celkem_fon,VE,(Intercept),-1.74 (3.00),,,,
X10_konfrontacni_pojmenovani_celkem_fon,VE,MR,7.81 (4.26),1.833,.073,,
X10_konfrontacni_pojmenovani_celkem_fon,VE,mental_age,0.56 (0.35),1.616,.112,,
X10_konfrontacni_pojmenovani_celkem_fon,VE,MR:mental_age,-0.70 (0.49),-1.426,.160,,
X10_konfrontacni_pojmenovani_celkem_fon,KOD,(Intercept),4.37 (1.52),,,,
X10_konfrontacni_pojmenovani_celkem_fon,KOD,MR,-0.12 (1.98),-0.060,.952,,
X10_konfrontacni_pojmenovani_celkem_fon,KOD,mental_age,-0.18 (0.18),-0.988,.328,,
X10_konfrontacni_pojmenovani_celkem_fon,KOD,MR:mental_age,0.26 (0.24),1.072,.289,,
X10_konfrontacni_pojmenovani_celkem_fon,PO,(Intercept),4.24 (2.18),,,,
X10_konfrontacni_pojmenovani_celkem_fon,PO,MR,1.33 (3.03),0.439,.662,,
X10_konfrontacni_pojmenovani_celkem_fon,PO,mental_age,-0.15 (0.25),-0.595,.555,,
X10_konfrontacni_pojmenovani_celkem_fon,PO,MR:mental_age,0.07 (0.35),0.188,.851,,
X10_konfrontacni_pojmenovani_celkem_fon,ŘO,(Intercept),2.98 (1.37),,,,
X10_konfrontacni_pojmenovani_celkem_fon,ŘO,MR,0.91 (1.82),0.500,.619,,
X10_konfrontacni_pojmenovani_celkem_fon,ŘO,mental_age,0.02 (0.15),0.126,.900,,
X10_konfrontacni_pojmenovani_celkem_fon,ŘO,MR:mental_age,0.09 (0.19),0.479,.634,,
X10_konfrontacni_pojmenovani_celkem_fon,POČ,(Intercept),2.86 (2.89),,,,
X10_konfrontacni_pojmenovani_celkem_fon,POČ,MR,-2.91 (3.88),-0.749,.457,,
X10_konfrontacni_pojmenovani_celkem_fon,POČ,mental_age,0.06 (0.37),0.161,.872,,
X10_konfrontacni_pojmenovani_celkem_fon,POČ,MR:mental_age,0.58 (0.50),1.164,.250,,
X10_konfrontacni_pojmenovani_celkem_fon,KOS,(Intercept),2.83 (2.38),,,,
X10_konfrontacni_pojmenovani_celkem_fon,KOS,MR,3.22 (2.87),1.121,.267,,
X10_konfrontacni_pojmenovani_celkem_fon,KOS,mental_age,0.03 (0.31),0.104,.918,,
X10_konfrontacni_pojmenovani_celkem_fon,KOS,MR:mental_age,-0.20 (0.38),-0.526,.601,,
X10_konfrontacni_pojmenovani_celkem_fon,SLO,(Intercept),2.81 (2.28),,,,
X10_konfrontacni_pojmenovani_celkem_fon,SLO,MR,-2.90 (3.21),-0.902,.371,,
X10_konfrontacni_pojmenovani_celkem_fon,SLO,mental_age,0.07 (0.28),0.260,.796,,
X10_konfrontacni_pojmenovani_celkem_fon,SLO,MR:mental_age,0.55 (0.40),1.380,.174,,
X10_konfrontacni_pojmenovani_celkem_fon,POR,(Intercept),3.45 (1.65),,,,
X10_konfrontacni_pojmenovani_celkem_fon,POR,MR,-2.22 (2.20),-1.009,.318,,
X10_konfrontacni_pojmenovani_celkem_fon,POR,mental_age,-0.06 (0.20),-0.322,.749,,
X10_konfrontacni_pojmenovani_celkem_fon,POR,MR:mental_age,0.53 (0.27),1.965,.055,,
X10_konfrontacni_pojmenovani_celkem_spont.kat,DO,(Intercept),12.73 (2.52),,,,
X10_konfrontacni_pojmenovani_celkem_spont.kat,DO,MR,6.66 (3.40),1.957,.056,,
X10_konfrontacni_pojmenovani_celkem_spont.kat,DO,mental_age,1.40 (0.30),4.625,< .001,*,
X10_konfrontacni_pojmenovani_celkem_spont.kat,DO,MR:mental_age,-0.92 (0.41),-2.249,.029,*,
X10_konfrontacni_pojmenovani_celkem_spont.kat,VE,(Intercept),18.05 (3.58),,,,
X10_konfrontacni_pojmenovani_celkem_spont.kat,VE,MR,-5.91 (5.08),-1.163,.250,,
X10_konfrontacni_pojmenovani_celkem_spont.kat,VE,mental_age,0.88 (0.41),2.137,.037,*,
X10_konfrontacni_pojmenovani_celkem_spont.kat,VE,MR:mental_age,0.41 (0.59),0.693,.491,,
X10_konfrontacni_pojmenovani_celkem_spont.kat,KOD,(Intercept),10.52 (2.16),,,,
X10_konfrontacni_pojmenovani_celkem_spont.kat,KOD,MR,11.77 (2.82),4.175,< .001,*,
X10_konfrontacni_pojmenovani_celkem_spont.kat,KOD,mental_age,1.71 (0.26),6.676,< .001,*,*
X10_konfrontacni_pojmenovani_celkem_spont.kat,KOD,MR:mental_age,-1.59 (0.34),-4.691,< .001,*,*
X10_konfrontacni_pojmenovani_celkem_spont.kat,PO,(Intercept),10.06 (2.98),,,,
